"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",161,10.1856189837891,-10.1784548476392,1.09463656099341,954.105339135864,0.99,944.564285744505
"female",162,10.1952078581517,-9.98296070951036,1.09396091918065,954.090539848287,0.99,944.549634449804
"female",163,10.2050065512724,-9.78995146167571,1.0932765403565,954.081447548378,0.99,944.540633072894
"female",164,10.2150100456924,-9.59939958554119,1.09258474839517,954.077975323805,0.99,944.537195570567
"female",165,10.2252133239526,-9.41127756251269,1.09188686717088,954.080036262239,0.99,944.539235899617
"female",166,10.235611368594,-9.22555787399611,1.09118422055785,954.087543451352,0.99,944.546668016838
"female",167,10.2461991621577,-9.04221300139733,1.09047813243029,954.100409978812,0.99,944.559405879023
"female",168,10.2569716871845,-8.86121542612226,1.08976992666244,954.118548932289,0.99,944.577363442967
"female",169,10.2679239262156,-8.68253762957679,1.08906092712851,954.141873399456,0.99,944.600454665461
"female",170,10.2790508617919,-8.50615209316682,1.08835245770271,954.170296467981,0.99,944.628593503301
"female",171,10.2903474764544,-8.33203129829823,1.08764584225928,954.203731225533,0.99,944.661693913278
"female",172,10.3018087527442,-8.16014772637692,1.08694240467242,954.242090759786,0.99,944.699669852188
"female",173,10.3134296732021,-7.99047385880879,1.08624346881635,954.285288158407,0.99,944.742435276823
"female",174,10.3252052203692,-7.82298217699973,1.08555035856531,954.333236509067,0.99,944.789904143977
"female",175,10.3371303767866,-7.65764516235563,1.0848643977935,954.385848899438,0.99,944.841990410443
"female",176,10.3492001249951,-7.4944352962824,1.08418691037515,954.443038417187,0.99,944.898608033016
"female",177,10.3614094475359,-7.33332506018591,1.08351922018447,954.504718149987,0.99,944.959670968488
"female",178,10.3737533269498,-7.17428693547207,1.08286265109569,954.570801185507,0.99,945.025093173652
"female",179,10.3862267457779,-7.01729340354678,1.08221852698302,954.641200611418,0.99,945.094788605304
"female",180,10.3988246865613,-6.86231694581592,1.08158817172069,954.715829515389,0.99,945.168671220235
"female",181,10.4115421318408,-6.70933004368539,1.08097290918291,954.794600985091,0.99,945.24665497524
"female",182,10.4243740641575,-6.55830517856108,1.0803740632439,954.877428108195,0.99,945.328653827113
"female",183,10.4373154938435,-6.4092149244789,1.07979294535942,954.964224417712,0.99,945.414582173535
"female",184,10.4503628184242,-6.26203647909704,1.0792302471177,955.054925675943,0.99,945.504376419184
"female",185,10.4635144382544,-6.11675371566029,1.07868576514221,955.149499739831,0.99,945.598004742433
"female",186,10.476768909838,-5.97335102786953,1.07815922628128,955.247916968549,0.99,945.695437798864
"female",187,10.4901247896788,-5.83181280942566,1.07765035738323,955.350147721273,0.99,945.79664624406
"female",188,10.5035806342805,-5.69212345402958,1.07715888529641,955.456162357175,0.99,945.901600733603
"female",189,10.517135000147,-5.55426735538217,1.07668453686915,955.56593123543,0.99,946.010271923075
"female",190,10.5307864437821,-5.41822890718433,1.07622703894977,955.679424715211,0.99,946.122630468059
"female",191,10.5445335216894,-5.28399250313695,1.07578611838662,955.796613155694,0.99,946.238647024137
"female",192,10.558374790373,-5.15154253694093,1.07536150202801,955.917466916051,0.99,946.35829224689
